Market_and_Exchange_Names,Report_Date,NonComm_Long,NonComm_Short,Open_Interest,Net
COCOA - ICE FUTURES U.S.,2013-12-31,86342,15393,240363,70949
COCOA - ICE FUTURES U.S.,2014-01-07,82642,15993,235121,66649
COCOA - ICE FUTURES U.S.,2014-01-14,82173,17560,242238,64613
COCOA - ICE FUTURES U.S.,2014-01-21,82121,17854,243332,64267
COCOA - ICE FUTURES U.S.,2014-01-28,88154,18706,262020,69448
COCOA - ICE FUTURES U.S.,2014-02-04,93450,17116,266310,76334
COCOA - ICE FUTURES U.S.,2014-02-11,93751,19334,240510,74417
COCOA - ICE FUTURES U.S.,2014-02-18,93563,18580,236529,74983
COCOA - ICE FUTURES U.S.,2014-02-25,90196,17357,235851,72839
COCOA - ICE FUTURES U.S.,2014-03-04,90405,17540,237797,72865
COCOA - ICE FUTURES U.S.,2014-03-11,94321,24437,248672,69884
COCOA - ICE FUTURES U.S.,2014-03-18,92237,24547,249818,67690
COCOA - ICE FUTURES U.S.,2014-03-25,87240,25046,249618,62194
COCOA - ICE FUTURES U.S.,2014-04-01,86438,25261,246215,61177
COCOA - ICE FUTURES U.S.,2014-04-08,83826,25127,228081,58699
COCOA - ICE FUTURES U.S.,2014-04-15,79618,21909,225577,57709
COCOA - ICE FUTURES U.S.,2014-04-22,80891,22679,230032,58212
COCOA - ICE FUTURES U.S.,2014-04-29,73478,22818,227970,50660
COCOA - ICE FUTURES U.S.,2014-05-06,70201,22598,227300,47603
COCOA - ICE FUTURES U.S.,2014-05-13,65522,23656,229220,41866
COCOA - ICE FUTURES U.S.,2014-05-20,65094,22820,228719,42274
COCOA - ICE FUTURES U.S.,2014-05-27,74844,22747,248681,52097
COCOA - ICE FUTURES U.S.,2014-06-03,80998,22424,263868,58574
COCOA - ICE FUTURES U.S.,2014-06-10,86427,25281,248755,61146
COCOA - ICE FUTURES U.S.,2014-06-17,90664,26635,247128,64029
COCOA - ICE FUTURES U.S.,2014-06-24,92291,31179,254552,61112
